iter	Passed	Remaining
0	135	135219
1	138	69310
2	142	47306
3	145	36295
4	149	29810
5	153	25383
6	156	22221
7	160	19881
8	163	18036
9	166	16502
10	170	15348
11	174	14399
12	178	13586
13	182	12873
14	187	12337
15	191	11796
16	195	11311
17	199	10890
18	203	10495
19	206	10133
20	210	9808
21	214	9517
22	217	9241
23	221	8996
24	224	8771
25	228	8556
26	231	8356
27	236	8196
28	239	8024
29	243	7857
30	246	7709
31	250	7588
32	254	7451
33	257	7321
34	261	7199
35	265	7099
36	268	6992
37	272	6891
38	276	6806
39	279	6718
40	284	6643
41	287	6566
42	291	6490
43	295	6410
44	298	6338
45	303	6298
46	307	6230
47	310	6166
48	315	6118
49	318	6057
50	322	6003
51	326	5949
52	331	5922
53	335	5878
54	340	5843
55	343	5795
56	347	5747
57	351	5702
58	354	5660
59	357	5603
60	361	5564
61	365	5529
62	368	5487
63	372	5446
64	376	5409
65	380	5379
66	383	5347
67	387	5316
68	391	5288
69	395	5252
70	399	5231
71	403	5204
72	407	5175
73	411	5144
74	414	5114
75	418	5091
76	422	5061
77	425	5031
78	429	5004
79	432	4977
80	436	4948
81	439	4923
82	443	4899
83	447	4876
84	450	4854
85	456	4849
86	459	4824
87	463	4805
88	469	4801
89	473	4783
90	476	4763
91	480	4743
92	484	4723
93	487	4702
94	491	4681
95	495	4665
96	499	4645
97	502	4626
98	507	4615
99	510	4598
100	515	4584
101	518	4568
102	522	4550
103	526	4532
104	529	4515
105	533	4503
106	537	4488
107	541	4473
108	545	4461
109	549	4444
110	552	4427
111	557	4418
112	560	4402
113	564	4385
114	567	4370
115	571	4358
116	575	4342
117	578	4327
118	582	4314
119	586	4299
120	589	4284
121	593	4271
122	597	4260
123	600	4245
124	604	4231
125	608	4218
126	611	4206
127	615	4191
128	619	4180
129	623	4171
130	626	4157
131	630	4144
132	633	4132
133	637	4119
134	640	4106
135	644	4094
136	648	4085
137	652	4073
138	655	4060
139	659	4048
140	662	4037
141	666	4025
142	669	4014
143	673	4004
144	677	3992
145	680	3980
146	683	3969
147	687	3960
148	691	3948
149	694	3937
150	698	3927
151	701	3915
152	705	3903
153	708	3894
154	712	3886
155	716	3877
156	720	3870
157	724	3861
158	728	3851
159	731	3841
160	736	3835
161	740	3828
162	744	3820
163	748	3813
164	752	3807
165	756	3800
166	760	3792
167	764	3786
168	768	3776
169	771	3767
170	775	3760
171	779	3751
172	782	3742
173	786	3735
174	791	3732
175	794	3721
176	798	3713
177	802	3707
178	806	3698
179	810	3690
180	813	3683
181	817	3674
182	820	3664
183	824	3656
184	828	3650
185	832	3641
186	835	3633
187	839	3627
188	843	3619
189	847	3611
190	850	3603
191	855	3599
192	858	3591
193	862	3584
194	867	3579
195	870	3570
196	873	3562
197	877	3555
198	881	3549
199	885	3540
200	889	3533
201	893	3527
202	896	3519
203	900	3511
204	904	3506
205	907	3498
206	911	3490
207	914	3483
208	919	3478
209	922	3470
210	926	3462
211	930	3458
212	934	3452
213	938	3447
214	943	3443
215	946	3436
216	950	3428
217	954	3424
218	958	3419
219	962	3411
220	965	3404
221	970	3400
222	973	3393
223	977	3387
224	982	3384
225	986	3377
226	989	3370
227	993	3365
228	997	3358
229	1001	3351
230	1005	3346
231	1009	3341
232	1012	3334
233	1016	3327
234	1020	3322
235	1024	3315
236	1027	3308
237	1031	3303
238	1035	3296
239	1039	3290
240	1043	3287
241	1047	3282
242	1051	3276
243	1056	3272
244	1060	3266
245	1064	3261
246	1068	3256
247	1072	3253
248	1076	3247
249	1080	3242
250	1084	3237
251	1088	3231
252	1092	3226
253	1097	3222
254	1100	3215
255	1105	3212
256	1110	3211
257	1115	3207
258	1118	3200
259	1122	3195
260	1126	3189
261	1130	3183
262	1134	3179
263	1138	3173
264	1141	3166
265	1145	3161
266	1149	3156
267	1153	3150
268	1156	3144
269	1161	3139
270	1164	3133
271	1168	3127
272	1172	3122
273	1176	3116
274	1179	3109
275	1183	3104
276	1187	3099
277	1191	3093
278	1194	3087
279	1199	3084
280	1202	3077
281	1206	3072
282	1210	3067
283	1214	3061
284	1217	3055
285	1221	3048
286	1225	3044
287	1228	3038
288	1232	3031
289	1236	3026
290	1240	3021
291	1243	3016
292	1248	3011
293	1251	3005
294	1255	2999
295	1259	2995
296	1263	2990
297	1266	2983
298	1270	2978
299	1274	2974
300	1278	2969
301	1282	2964
302	1286	2959
303	1290	2954
304	1294	2949
305	1298	2944
306	1302	2940
307	1306	2936
308	1311	2933
309	1315	2928
310	1319	2922
311	1324	2919
312	1327	2914
313	1331	2908
314	1335	2903
315	1338	2898
316	1342	2893
317	1346	2888
318	1351	2885
319	1355	2880
320	1359	2875
321	1364	2872
322	1367	2866
323	1371	2861
324	1375	2856
325	1378	2850
326	1382	2845
327	1386	2839
328	1390	2835
329	1393	2830
330	1397	2824
331	1401	2820
332	1405	2815
333	1408	2809
334	1412	2804
335	1416	2799
336	1420	2794
337	1424	2789
338	1428	2785
339	1431	2779
340	1435	2773
341	1439	2769
342	1442	2763
343	1446	2757
344	1448	2750
345	1452	2745
346	1456	2740
347	1459	2734
348	1463	2729
349	1467	2724
350	1470	2719
351	1474	2713
352	1478	2709
353	1482	2704
354	1485	2699
355	1490	2696
356	1493	2690
357	1497	2684
358	1500	2679
359	1504	2675
360	1508	2670
361	1511	2663
362	1514	2658
363	1518	2653
364	1522	2648
365	1526	2643
366	1530	2639
367	1533	2634
368	1537	2629
369	1541	2624
370	1545	2619
371	1548	2614
372	1552	2609
373	1556	2605
374	1560	2600
375	1563	2595
376	1567	2590
377	1571	2585
378	1574	2580
379	1578	2575
380	1582	2570
381	1585	2565
382	1589	2560
383	1592	2555
384	1596	2550
385	1600	2545
386	1603	2540
387	1607	2535
388	1610	2530
389	1614	2525
390	1618	2520
391	1621	2515
392	1625	2510
393	1628	2504
394	1634	2503
395	1638	2499
396	1642	2494
397	1646	2490
398	1650	2486
399	1655	2482
400	1658	2477
401	1662	2472
402	1665	2467
403	1669	2462
404	1673	2458
405	1676	2453
406	1680	2448
407	1683	2443
408	1687	2438
409	1691	2433
410	1694	2428
411	1698	2424
412	1702	2420
413	1706	2415
414	1710	2411
415	1714	2407
416	1718	2402
417	1722	2398
418	1726	2393
419	1729	2388
420	1733	2384
421	1737	2379
422	1741	2375
423	1745	2370
424	1749	2367
425	1753	2362
426	1756	2357
427	1760	2353
428	1764	2348
429	1767	2343
430	1771	2338
431	1775	2334
432	1779	2329
433	1782	2325
434	1787	2321
435	1790	2316
436	1794	2311
437	1798	2308
438	1802	2304
439	1806	2299
440	1810	2295
441	1814	2290
442	1818	2285
443	1821	2280
444	1825	2276
445	1828	2271
446	1831	2266
447	1835	2261
448	1839	2257
449	1843	2252
450	1846	2247
451	1850	2243
452	1854	2239
453	1857	2234
454	1861	2229
455	1865	2226
456	1869	2221
457	1874	2218
458	1877	2213
459	1881	2208
460	1885	2204
461	1889	2200
462	1892	2195
463	1896	2190
464	1900	2186
465	1904	2182
466	1907	2177
467	1911	2173
468	1916	2169
469	1920	2165
470	1924	2161
471	1928	2157
472	1932	2153
473	1936	2148
474	1940	2145
475	1944	2140
476	1947	2135
477	1951	2131
478	1955	2127
479	1959	2122
480	1963	2118
481	1966	2113
482	1970	2109
483	1973	2104
484	1977	2099
485	1981	2095
486	1984	2090
487	1987	2085
488	1991	2081
489	1995	2076
490	1998	2071
491	2001	2067
492	2005	2062
493	2009	2058
494	2012	2053
495	2016	2049
496	2020	2044
497	2023	2039
498	2027	2035
499	2030	2030
500	2034	2026
501	2037	2021
502	2041	2017
503	2045	2013
504	2049	2008
505	2052	2003
